points: 500; time: 0.0029577 seconds
points: 1000; time: 0.0038484 seconds
points: 1500; time: 0.0046497 seconds
points: 2000; time: 0.0052711 seconds
points: 2500; time: 0.0073207 seconds
points: 3000; time: 0.0091481 seconds
points: 3500; time: 0.0103468 seconds
points: 4000; time: 0.0099623 seconds
points: 4500; time: 0.0110635 seconds
points: 5000; time: 0.0116081 seconds
points: 5500; time: 0.012548 seconds
points: 6000; time: 0.0130835 seconds
points: 6500; time: 0.0142618 seconds
points: 7000; time: 0.0152259 seconds
points: 7500; time: 0.0169058 seconds
points: 8000; time: 0.0175011 seconds
points: 8500; time: 0.0186457 seconds
points: 9000; time: 0.0193339 seconds
points: 9500; time: 0.0202854 seconds
points: 10000; time: 0.0215431 seconds
points: 10500; time: 0.0228997 seconds
points: 11000; time: 0.0238831 seconds
points: 11500; time: 0.0246741 seconds
points: 12000; time: 0.0259134 seconds
points: 12500; time: 0.0267065 seconds
points: 13000; time: 0.0289382 seconds
points: 13500; time: 0.0296238 seconds
points: 14000; time: 0.0316391 seconds
points: 14500; time: 0.0324953 seconds
points: 15000; time: 0.0330865 seconds
points: 15500; time: 0.034509 seconds
points: 16000; time: 0.0361244 seconds
points: 16500; time: 0.0365181 seconds
points: 17000; time: 0.0380855 seconds
points: 17500; time: 0.0393953 seconds
points: 18000; time: 0.0419253 seconds
points: 18500; time: 0.0415049 seconds
points: 19000; time: 0.0436765 seconds
points: 19500; time: 0.0451554 seconds
points: 20000; time: 0.0462057 seconds
points: 20500; time: 0.0479011 seconds
points: 21000; time: 0.048745 seconds
points: 21500; time: 0.050984 seconds
points: 22000; time: 0.0519028 seconds
points: 22500; time: 0.0539379 seconds
points: 23000; time: 0.0532353 seconds
points: 23500; time: 0.0535771 seconds
points: 24000; time: 0.0546039 seconds
points: 24500; time: 0.0564052 seconds
points: 25000; time: 0.0571802 seconds
points: 25500; time: 0.0590192 seconds
points: 26000; time: 0.0593203 seconds
points: 26500; time: 0.0625944 seconds
points: 27000; time: 0.0655112 seconds
points: 27500; time: 0.0632653 seconds
points: 28000; time: 0.0630102 seconds
points: 28500; time: 0.0654014 seconds
points: 29000; time: 0.06559 seconds
points: 29500; time: 0.0669783 seconds
points: 30000; time: 0.0681416 seconds
points: 30500; time: 0.0701866 seconds
points: 31000; time: 0.0727 seconds
points: 31500; time: 0.072299 seconds
points: 32000; time: 0.0754461 seconds
points: 32500; time: 0.0734247 seconds
points: 33000; time: 0.0754313 seconds
points: 33500; time: 0.0757578 seconds
points: 34000; time: 0.0773975 seconds
points: 34500; time: 0.0784483 seconds
points: 35000; time: 0.0823056 seconds
points: 35500; time: 0.0862968 seconds
points: 36000; time: 0.0910729 seconds
points: 36500; time: 0.0856286 seconds
points: 37000; time: 0.088354 seconds
points: 37500; time: 0.0850595 seconds
points: 38000; time: 0.0887598 seconds
points: 38500; time: 0.0862024 seconds
points: 39000; time: 0.0896225 seconds
points: 39500; time: 0.0902203 seconds
points: 40000; time: 0.0900777 seconds
points: 40500; time: 0.091391 seconds
points: 41000; time: 0.0929854 seconds
points: 41500; time: 0.0935467 seconds
points: 42000; time: 0.095046 seconds
points: 42500; time: 0.0993532 seconds
points: 43000; time: 0.0976767 seconds
points: 43500; time: 0.10016 seconds
points: 44000; time: 0.100656 seconds
points: 44500; time: 0.102752 seconds
points: 45000; time: 0.101489 seconds
points: 45500; time: 0.0994901 seconds
points: 46000; time: 0.105107 seconds
points: 46500; time: 0.103449 seconds
points: 47000; time: 0.101712 seconds
points: 47500; time: 0.104678 seconds
points: 48000; time: 0.108369 seconds
points: 48500; time: 0.110317 seconds
points: 49000; time: 0.111439 seconds
points: 49500; time: 0.112215 seconds
points: 50000; time: 0.113175 seconds
