points: 9; time: 0.0290752 seconds
points: 18; time: 0.0250433 seconds
points: 27; time: 0.0296536 seconds
points: 36; time: 0.0322441 seconds
points: 45; time: 0.0275397 seconds
points: 54; time: 0.0283092 seconds
points: 63; time: 0.0291614 seconds
points: 72; time: 0.029119 seconds
points: 81; time: 0.0293764 seconds
points: 90; time: 0.0296474 seconds
points: 99; time: 0.030164 seconds
points: 108; time: 0.029805 seconds
points: 117; time: 0.0290411 seconds
points: 126; time: 0.0300811 seconds
points: 135; time: 0.0304563 seconds
points: 144; time: 0.0316633 seconds
points: 153; time: 0.0315559 seconds
points: 162; time: 0.0336692 seconds
points: 171; time: 0.033634 seconds
points: 180; time: 0.0308993 seconds
points: 189; time: 0.0373422 seconds
points: 198; time: 0.0383619 seconds
points: 207; time: 0.0368587 seconds
points: 216; time: 0.0389502 seconds
points: 225; time: 0.0378685 seconds
points: 234; time: 0.0353567 seconds
points: 243; time: 0.035908 seconds
points: 252; time: 0.038375 seconds
points: 261; time: 0.0376716 seconds
points: 270; time: 0.0373353 seconds
points: 279; time: 0.0374484 seconds
points: 288; time: 0.0357882 seconds
points: 297; time: 0.0403949 seconds
points: 306; time: 0.0454967 seconds
points: 315; time: 0.0384759 seconds
points: 324; time: 0.0417136 seconds
points: 333; time: 0.0413416 seconds
points: 342; time: 0.0429484 seconds
points: 351; time: 0.0602305 seconds
points: 360; time: 0.0746346 seconds
points: 369; time: 0.0447282 seconds
points: 378; time: 0.0442395 seconds
points: 387; time: 0.0462173 seconds
points: 396; time: 0.0476909 seconds
points: 405; time: 0.0466926 seconds
points: 414; time: 0.0493119 seconds
points: 423; time: 0.0463672 seconds
points: 432; time: 0.0521248 seconds
points: 441; time: 0.049875 seconds
points: 450; time: 0.0505988 seconds
points: 459; time: 0.0511795 seconds
points: 468; time: 0.051757 seconds
points: 477; time: 0.0538798 seconds
points: 486; time: 0.0724133 seconds
points: 495; time: 0.05878 seconds
points: 504; time: 0.0609588 seconds
points: 513; time: 0.0537018 seconds
points: 522; time: 0.0559538 seconds
points: 531; time: 0.0565497 seconds
points: 540; time: 0.0600901 seconds
points: 549; time: 0.0584686 seconds
points: 558; time: 0.0604871 seconds
points: 567; time: 0.0688433 seconds
points: 576; time: 0.0663999 seconds
points: 585; time: 0.0546749 seconds
points: 594; time: 0.0632448 seconds
points: 603; time: 0.0568612 seconds
points: 612; time: 0.0727937 seconds
points: 621; time: 0.0495701 seconds
points: 630; time: 0.0548254 seconds
points: 639; time: 0.0527401 seconds
points: 648; time: 0.0527873 seconds
points: 657; time: 0.0561427 seconds
points: 666; time: 0.0560427 seconds
points: 675; time: 0.0583291 seconds
points: 684; time: 0.0618281 seconds
points: 693; time: 0.0614071 seconds
points: 702; time: 0.0625372 seconds
points: 711; time: 0.0698255 seconds
points: 720; time: 0.0608666 seconds
points: 729; time: 0.0561199 seconds
points: 738; time: 0.0622477 seconds
points: 747; time: 0.0643118 seconds
points: 756; time: 0.0684247 seconds
points: 765; time: 0.0670171 seconds
points: 774; time: 0.0684675 seconds
points: 783; time: 0.0728235 seconds
points: 792; time: 0.0731656 seconds
points: 801; time: 0.0715131 seconds
points: 810; time: 0.075657 seconds
points: 819; time: 0.0754833 seconds
points: 828; time: 0.0765624 seconds
points: 837; time: 0.0782551 seconds
points: 846; time: 0.0780215 seconds
points: 855; time: 0.0768051 seconds
points: 864; time: 0.0794412 seconds
points: 873; time: 0.0814757 seconds
points: 882; time: 0.0791276 seconds
points: 891; time: 0.0704155 seconds
points: 900; time: 0.074192 seconds
points: 909; time: 0.0773855 seconds
points: 918; time: 0.123101 seconds
points: 927; time: 0.0782747 seconds
points: 936; time: 0.0778436 seconds
points: 945; time: 0.0793818 seconds
points: 954; time: 0.0801663 seconds
points: 963; time: 0.080623 seconds
points: 972; time: 0.0806136 seconds
points: 981; time: 0.0742346 seconds
points: 990; time: 0.0824105 seconds
points: 999; time: 0.0791171 seconds
points: 1008; time: 0.0872714 seconds
points: 1017; time: 0.0832179 seconds
points: 1026; time: 0.0835474 seconds
points: 1035; time: 0.0870505 seconds
points: 1044; time: 0.0868049 seconds
points: 1053; time: 0.0873938 seconds
points: 1062; time: 0.0875072 seconds
points: 1071; time: 0.0843835 seconds
points: 1080; time: 0.0838138 seconds
points: 1089; time: 0.0864445 seconds
points: 1098; time: 0.0988369 seconds
points: 1107; time: 0.0992025 seconds
points: 1116; time: 0.121768 seconds
points: 1125; time: 0.106025 seconds
points: 1134; time: 0.0918589 seconds
points: 1143; time: 0.0925767 seconds
