points: 500; time: 0.0187314 seconds
points: 1000; time: 0.0373515 seconds
points: 1500; time: 0.0557671 seconds
points: 2000; time: 0.0735364 seconds
points: 2500; time: 0.0952037 seconds
points: 3000; time: 0.113132 seconds
points: 3500; time: 0.12771 seconds
points: 4000; time: 0.143679 seconds
points: 4500; time: 0.163083 seconds
points: 5000; time: 0.193602 seconds
points: 5500; time: 0.197901 seconds
points: 6000; time: 0.215097 seconds
points: 6500; time: 0.236902 seconds
points: 7000; time: 0.251528 seconds
points: 7500; time: 0.268678 seconds
points: 8000; time: 0.288141 seconds
points: 8500; time: 0.304285 seconds
points: 9000; time: 0.324161 seconds
points: 9500; time: 0.342498 seconds
points: 10000; time: 0.36786 seconds
points: 10500; time: 0.377753 seconds
points: 11000; time: 0.398024 seconds
points: 11500; time: 0.413423 seconds
points: 12000; time: 0.433545 seconds
points: 12500; time: 0.449432 seconds
points: 13000; time: 0.471616 seconds
points: 13500; time: 0.490473 seconds
points: 14000; time: 0.512728 seconds
points: 14500; time: 0.52144 seconds
points: 15000; time: 0.545214 seconds
points: 15500; time: 0.561292 seconds
points: 16000; time: 0.576704 seconds
points: 16500; time: 0.598557 seconds
points: 17000; time: 0.622476 seconds
points: 17500; time: 0.632466 seconds
points: 18000; time: 0.650485 seconds
points: 18500; time: 0.674813 seconds
points: 19000; time: 0.682541 seconds
points: 19500; time: 0.713793 seconds
points: 20000; time: 0.725504 seconds
points: 20500; time: 0.744918 seconds
points: 21000; time: 0.81381 seconds
points: 21500; time: 0.775651 seconds
points: 22000; time: 0.793389 seconds
points: 22500; time: 0.828479 seconds
points: 23000; time: 0.826808 seconds
points: 23500; time: 0.858587 seconds
points: 24000; time: 0.869863 seconds
points: 24500; time: 0.884307 seconds
points: 25000; time: 0.97496 seconds
points: 25500; time: 0.98889 seconds
points: 26000; time: 0.946274 seconds
points: 26500; time: 0.965871 seconds
points: 27000; time: 0.975666 seconds
points: 27500; time: 0.991175 seconds
points: 28000; time: 1.00784 seconds
points: 28500; time: 1.0372 seconds
points: 29000; time: 1.05538 seconds
points: 29500; time: 1.0606 seconds
points: 30000; time: 1.09029 seconds
points: 30500; time: 1.10458 seconds
points: 31000; time: 1.13981 seconds
points: 31500; time: 1.13814 seconds
points: 32000; time: 1.15226 seconds
points: 32500; time: 1.21493 seconds
points: 33000; time: 1.25097 seconds
points: 33500; time: 1.22053 seconds
points: 34000; time: 1.22393 seconds
points: 34500; time: 1.25651 seconds
points: 35000; time: 1.27431 seconds
points: 35500; time: 1.27955 seconds
points: 36000; time: 1.31465 seconds
points: 36500; time: 1.31795 seconds
points: 37000; time: 1.38562 seconds
points: 37500; time: 1.34909 seconds
points: 38000; time: 1.3767 seconds
points: 38500; time: 1.40286 seconds
points: 39000; time: 1.40844 seconds
points: 39500; time: 1.42437 seconds
points: 40000; time: 1.44073 seconds
points: 40500; time: 1.45892 seconds
points: 41000; time: 1.47936 seconds
points: 41500; time: 1.56352 seconds
points: 42000; time: 1.50944 seconds
points: 42500; time: 1.53973 seconds
points: 43000; time: 1.56231 seconds
points: 43500; time: 1.58263 seconds
points: 44000; time: 1.58465 seconds
points: 44500; time: 1.60654 seconds
points: 45000; time: 1.63013 seconds
points: 45500; time: 1.6501 seconds
points: 46000; time: 1.66184 seconds
points: 46500; time: 1.67923 seconds
points: 47000; time: 1.726 seconds
points: 47500; time: 1.71355 seconds
points: 48000; time: 1.72931 seconds
points: 48500; time: 1.75791 seconds
points: 49000; time: 1.77751 seconds
points: 49500; time: 1.79729 seconds
points: 50000; time: 1.81738 seconds
