points: 500; time: 0.0315175 seconds
points: 1000; time: 0.0297007 seconds
points: 1500; time: 0.0349528 seconds
points: 2000; time: 0.0348316 seconds
points: 2500; time: 0.0366879 seconds
points: 3000; time: 0.0418003 seconds
points: 3500; time: 0.0404879 seconds
points: 4000; time: 0.0441505 seconds
points: 4500; time: 0.0536367 seconds
points: 5000; time: 0.044237 seconds
points: 5500; time: 0.0467453 seconds
points: 6000; time: 0.0453615 seconds
points: 6500; time: 0.0466513 seconds
points: 7000; time: 0.0586908 seconds
points: 7500; time: 0.0569769 seconds
points: 8000; time: 0.0599511 seconds
points: 8500; time: 0.0560229 seconds
points: 9000; time: 0.0581213 seconds
points: 9500; time: 0.0592563 seconds
points: 10000; time: 0.0647965 seconds
points: 10500; time: 0.0637462 seconds
points: 11000; time: 0.0645391 seconds
points: 11500; time: 0.0665475 seconds
points: 12000; time: 0.0698659 seconds
points: 12500; time: 0.0690524 seconds
points: 13000; time: 0.0739305 seconds
points: 13500; time: 0.0698009 seconds
points: 14000; time: 0.0730044 seconds
points: 14500; time: 0.071278 seconds
points: 15000; time: 0.0737084 seconds
points: 15500; time: 0.0743567 seconds
points: 16000; time: 0.0781698 seconds
points: 16500; time: 0.0803873 seconds
points: 17000; time: 0.0800054 seconds
points: 17500; time: 0.0903868 seconds
points: 18000; time: 0.0993146 seconds
points: 18500; time: 0.0870795 seconds
points: 19000; time: 0.0850623 seconds
points: 19500; time: 0.0868263 seconds
points: 20000; time: 0.0852647 seconds
points: 20500; time: 0.0879435 seconds
points: 21000; time: 0.0918696 seconds
points: 21500; time: 0.0879789 seconds
points: 22000; time: 0.0953505 seconds
points: 22500; time: 0.0996407 seconds
points: 23000; time: 0.0888081 seconds
points: 23500; time: 0.0949626 seconds
points: 24000; time: 0.0945532 seconds
points: 24500; time: 0.0973935 seconds
points: 25000; time: 0.128019 seconds
points: 25500; time: 0.106628 seconds
points: 26000; time: 0.105955 seconds
points: 26500; time: 0.0991608 seconds
points: 27000; time: 0.110715 seconds
points: 27500; time: 0.110855 seconds
points: 28000; time: 0.115133 seconds
points: 28500; time: 0.111085 seconds
points: 29000; time: 0.109325 seconds
points: 29500; time: 0.117241 seconds
points: 30000; time: 0.126747 seconds
points: 30500; time: 0.120429 seconds
points: 31000; time: 0.122092 seconds
points: 31500; time: 0.116481 seconds
points: 32000; time: 0.120572 seconds
points: 32500; time: 0.160572 seconds
points: 33000; time: 0.132994 seconds
points: 33500; time: 0.129463 seconds
points: 34000; time: 0.124797 seconds
points: 34500; time: 0.133659 seconds
points: 35000; time: 0.134152 seconds
points: 35500; time: 0.144659 seconds
points: 36000; time: 0.141424 seconds
points: 36500; time: 0.130591 seconds
points: 37000; time: 0.144496 seconds
points: 37500; time: 0.138959 seconds
points: 38000; time: 0.132275 seconds
points: 38500; time: 0.166893 seconds
points: 39000; time: 0.145798 seconds
points: 39500; time: 0.162893 seconds
points: 40000; time: 0.154017 seconds
points: 40500; time: 0.160226 seconds
points: 41000; time: 0.156869 seconds
points: 41500; time: 0.174605 seconds
points: 42000; time: 0.151497 seconds
points: 42500; time: 0.162313 seconds
points: 43000; time: 0.162912 seconds
points: 43500; time: 0.151552 seconds
points: 44000; time: 0.20458 seconds
points: 44500; time: 0.163263 seconds
points: 45000; time: 0.174054 seconds
points: 45500; time: 0.171119 seconds
points: 46000; time: 0.181719 seconds
points: 46500; time: 0.166924 seconds
points: 47000; time: 0.173972 seconds
points: 47500; time: 0.173884 seconds
points: 48000; time: 0.178399 seconds
points: 48500; time: 0.185376 seconds
points: 49000; time: 0.179883 seconds
points: 49500; time: 0.16703 seconds
points: 50000; time: 0.173437 seconds
