points: 500; time: 0.0267625 seconds
points: 1000; time: 0.0262083 seconds
points: 1500; time: 0.0306393 seconds
points: 2000; time: 0.0352705 seconds
points: 2500; time: 0.0380522 seconds
points: 3000; time: 0.0400294 seconds
points: 3500; time: 0.0452333 seconds
points: 4000; time: 0.0451272 seconds
points: 4500; time: 0.0568068 seconds
points: 5000; time: 0.0449689 seconds
points: 5500; time: 0.0463136 seconds
points: 6000; time: 0.0504181 seconds
points: 6500; time: 0.0500778 seconds
points: 7000; time: 0.0586118 seconds
points: 7500; time: 0.0555861 seconds
points: 8000; time: 0.0712858 seconds
points: 8500; time: 0.0612212 seconds
points: 9000; time: 0.0641876 seconds
points: 9500; time: 0.068643 seconds
points: 10000; time: 0.0747148 seconds
points: 10500; time: 0.0737234 seconds
points: 11000; time: 0.0877397 seconds
points: 11500; time: 0.0753202 seconds
points: 12000; time: 0.0731334 seconds
points: 12500; time: 0.0812562 seconds
points: 13000; time: 0.0816875 seconds
points: 13500; time: 0.0836842 seconds
points: 14000; time: 0.0889056 seconds
points: 14500; time: 0.0819034 seconds
points: 15000; time: 0.0865943 seconds
points: 15500; time: 0.0900275 seconds
points: 16000; time: 0.091111 seconds
points: 16500; time: 0.161414 seconds
points: 17000; time: 0.106672 seconds
points: 17500; time: 0.0906254 seconds
points: 18000; time: 0.0946014 seconds
points: 18500; time: 0.100519 seconds
points: 19000; time: 0.102877 seconds
points: 19500; time: 0.0990197 seconds
points: 20000; time: 0.106968 seconds
points: 20500; time: 0.11305 seconds
points: 21000; time: 0.105648 seconds
points: 21500; time: 0.109663 seconds
points: 22000; time: 0.11932 seconds
points: 22500; time: 0.115386 seconds
points: 23000; time: 0.118918 seconds
points: 23500; time: 0.121017 seconds
points: 24000; time: 0.123466 seconds
points: 24500; time: 0.124424 seconds
points: 25000; time: 0.135879 seconds
points: 25500; time: 0.135422 seconds
points: 26000; time: 0.126773 seconds
points: 26500; time: 0.127212 seconds
points: 27000; time: 0.142174 seconds
points: 27500; time: 0.134005 seconds
points: 28000; time: 0.137042 seconds
points: 28500; time: 0.136428 seconds
points: 29000; time: 0.143842 seconds
points: 29500; time: 0.14688 seconds
points: 30000; time: 0.154272 seconds
points: 30500; time: 0.148924 seconds
points: 31000; time: 0.147909 seconds
points: 31500; time: 0.144723 seconds
points: 32000; time: 0.164611 seconds
points: 32500; time: 0.161014 seconds
points: 33000; time: 0.160054 seconds
points: 33500; time: 0.161056 seconds
points: 34000; time: 0.170017 seconds
points: 34500; time: 0.165766 seconds
points: 35000; time: 0.205429 seconds
points: 35500; time: 0.178091 seconds
points: 36000; time: 0.165556 seconds
points: 36500; time: 0.181858 seconds
points: 37000; time: 0.176194 seconds
points: 37500; time: 0.181185 seconds
points: 38000; time: 0.175663 seconds
points: 38500; time: 0.190849 seconds
points: 39000; time: 0.184133 seconds
points: 39500; time: 0.18941 seconds
points: 40000; time: 0.199373 seconds
points: 40500; time: 0.186336 seconds
points: 41000; time: 0.208656 seconds
points: 41500; time: 0.199023 seconds
points: 42000; time: 0.19657 seconds
points: 42500; time: 0.216512 seconds
points: 43000; time: 0.209089 seconds
points: 43500; time: 0.204796 seconds
points: 44000; time: 0.204236 seconds
points: 44500; time: 0.222904 seconds
points: 45000; time: 0.204612 seconds
points: 45500; time: 0.217142 seconds
points: 46000; time: 0.217067 seconds
points: 46500; time: 0.214654 seconds
points: 47000; time: 0.24849 seconds
points: 47500; time: 0.223309 seconds
points: 48000; time: 0.223452 seconds
points: 48500; time: 0.231305 seconds
points: 49000; time: 0.233338 seconds
points: 49500; time: 0.224486 seconds
points: 50000; time: 0.221699 seconds
