points: 500; time: 0.0134361 seconds
points: 1000; time: 0.0120333 seconds
points: 1500; time: 0.0115205 seconds
points: 2000; time: 0.0114132 seconds
points: 2500; time: 0.0127518 seconds
points: 3000; time: 0.0132693 seconds
points: 3500; time: 0.0136798 seconds
points: 4000; time: 0.014039 seconds
points: 4500; time: 0.0133625 seconds
points: 5000; time: 0.0135011 seconds
points: 5500; time: 0.01424 seconds
points: 6000; time: 0.0144366 seconds
points: 6500; time: 0.0152173 seconds
points: 7000; time: 0.0155177 seconds
points: 7500; time: 0.0168751 seconds
points: 8000; time: 0.0160567 seconds
points: 8500; time: 0.0166879 seconds
points: 9000; time: 0.0174774 seconds
points: 9500; time: 0.0175273 seconds
points: 10000; time: 0.0172952 seconds
points: 10500; time: 0.017242 seconds
points: 11000; time: 0.0181932 seconds
points: 11500; time: 0.0186687 seconds
points: 12000; time: 0.0186806 seconds
points: 12500; time: 0.0191778 seconds
points: 13000; time: 0.0195925 seconds
points: 13500; time: 0.0206805 seconds
points: 14000; time: 0.0213708 seconds
points: 14500; time: 0.0212259 seconds
points: 15000; time: 0.0216858 seconds
points: 15500; time: 0.0215789 seconds
points: 16000; time: 0.0233356 seconds
points: 16500; time: 0.0225065 seconds
points: 17000; time: 0.0254467 seconds
points: 17500; time: 0.0229498 seconds
points: 18000; time: 0.0245842 seconds
points: 18500; time: 0.0253861 seconds
points: 19000; time: 0.0247389 seconds
points: 19500; time: 0.0262113 seconds
points: 20000; time: 0.0260712 seconds
points: 20500; time: 0.0268631 seconds
points: 21000; time: 0.0267913 seconds
points: 21500; time: 0.027372 seconds
points: 22000; time: 0.0277065 seconds
points: 22500; time: 0.0286258 seconds
points: 23000; time: 0.0282578 seconds
points: 23500; time: 0.0292952 seconds
points: 24000; time: 0.0292093 seconds
points: 24500; time: 0.0294701 seconds
points: 25000; time: 0.0321105 seconds
points: 25500; time: 0.0297389 seconds
points: 26000; time: 0.0296704 seconds
points: 26500; time: 0.0312402 seconds
points: 27000; time: 0.0313426 seconds
points: 27500; time: 0.0323167 seconds
points: 28000; time: 0.0323244 seconds
points: 28500; time: 0.0324205 seconds
points: 29000; time: 0.0320039 seconds
points: 29500; time: 0.0337744 seconds
points: 30000; time: 0.0348696 seconds
points: 30500; time: 0.0347671 seconds
points: 31000; time: 0.0355574 seconds
points: 31500; time: 0.0352961 seconds
points: 32000; time: 0.0358089 seconds
points: 32500; time: 0.0360686 seconds
points: 33000; time: 0.0367501 seconds
points: 33500; time: 0.0369185 seconds
points: 34000; time: 0.0367298 seconds
points: 34500; time: 0.0366019 seconds
points: 35000; time: 0.0377026 seconds
points: 35500; time: 0.0378931 seconds
points: 36000; time: 0.0377207 seconds
points: 36500; time: 0.0384812 seconds
points: 37000; time: 0.0392752 seconds
points: 37500; time: 0.0397177 seconds
points: 38000; time: 0.0403664 seconds
points: 38500; time: 0.0458075 seconds
points: 39000; time: 0.0455733 seconds
points: 39500; time: 0.0416263 seconds
points: 40000; time: 0.0417715 seconds
points: 40500; time: 0.0418134 seconds
points: 41000; time: 0.0433127 seconds
points: 41500; time: 0.0458067 seconds
points: 42000; time: 0.0439759 seconds
points: 42500; time: 0.0446857 seconds
points: 43000; time: 0.0452421 seconds
points: 43500; time: 0.0463896 seconds
points: 44000; time: 0.0451598 seconds
points: 44500; time: 0.0469908 seconds
points: 45000; time: 0.0461964 seconds
points: 45500; time: 0.045157 seconds
points: 46000; time: 0.0468257 seconds
points: 46500; time: 0.0456649 seconds
points: 47000; time: 0.0466316 seconds
points: 47500; time: 0.0467451 seconds
points: 48000; time: 0.049014 seconds
points: 48500; time: 0.0488015 seconds
points: 49000; time: 0.0499082 seconds
points: 49500; time: 0.0497862 seconds
points: 50000; time: 0.0500831 seconds
