points: 500; time: 0.0110282 seconds
points: 1000; time: 0.0091742 seconds
points: 1500; time: 0.010678 seconds
points: 2000; time: 0.0108897 seconds
points: 2500; time: 0.011554 seconds
points: 3000; time: 0.0125346 seconds
points: 3500; time: 0.0142737 seconds
points: 4000; time: 0.0151493 seconds
points: 4500; time: 0.0144161 seconds
points: 5000; time: 0.0145095 seconds
points: 5500; time: 0.0148759 seconds
points: 6000; time: 0.0151038 seconds
points: 6500; time: 0.0157544 seconds
points: 7000; time: 0.0160701 seconds
points: 7500; time: 0.0169595 seconds
points: 8000; time: 0.018204 seconds
points: 8500; time: 0.0190204 seconds
points: 9000; time: 0.0195275 seconds
points: 9500; time: 0.0189452 seconds
points: 10000; time: 0.0198703 seconds
points: 10500; time: 0.0200681 seconds
points: 11000; time: 0.0209529 seconds
points: 11500; time: 0.0222829 seconds
points: 12000; time: 0.0218477 seconds
points: 12500; time: 0.0219135 seconds
points: 13000; time: 0.0248491 seconds
points: 13500; time: 0.0255239 seconds
points: 14000; time: 0.0256189 seconds
points: 14500; time: 0.0258445 seconds
points: 15000; time: 0.0274954 seconds
points: 15500; time: 0.0280162 seconds
points: 16000; time: 0.0301064 seconds
points: 16500; time: 0.0310969 seconds
points: 17000; time: 0.0301027 seconds
points: 17500; time: 0.0292056 seconds
points: 18000; time: 0.029415 seconds
points: 18500; time: 0.0301756 seconds
points: 19000; time: 0.0306299 seconds
points: 19500; time: 0.0310893 seconds
points: 20000; time: 0.0337124 seconds
points: 20500; time: 0.0372955 seconds
points: 21000; time: 0.039088 seconds
points: 21500; time: 0.0370194 seconds
points: 22000; time: 0.0354877 seconds
points: 22500; time: 0.0386026 seconds
points: 23000; time: 0.036476 seconds
points: 23500; time: 0.0376213 seconds
points: 24000; time: 0.0378186 seconds
points: 24500; time: 0.0383686 seconds
points: 25000; time: 0.0383374 seconds
points: 25500; time: 0.0400374 seconds
points: 26000; time: 0.0424024 seconds
points: 26500; time: 0.0408656 seconds
points: 27000; time: 0.0410293 seconds
points: 27500; time: 0.0413235 seconds
points: 28000; time: 0.0432035 seconds
points: 28500; time: 0.0441061 seconds
points: 29000; time: 0.0421233 seconds
points: 29500; time: 0.0427919 seconds
points: 30000; time: 0.0436735 seconds
points: 30500; time: 0.0450668 seconds
points: 31000; time: 0.0462592 seconds
points: 31500; time: 0.0470552 seconds
points: 32000; time: 0.0468686 seconds
points: 32500; time: 0.0476691 seconds
points: 33000; time: 0.0479477 seconds
points: 33500; time: 0.0485424 seconds
points: 34000; time: 0.0484162 seconds
points: 34500; time: 0.0497778 seconds
points: 35000; time: 0.0492811 seconds
points: 35500; time: 0.0512821 seconds
points: 36000; time: 0.0499139 seconds
points: 36500; time: 0.0515807 seconds
points: 37000; time: 0.0515534 seconds
points: 37500; time: 0.0536774 seconds
points: 38000; time: 0.054766 seconds
points: 38500; time: 0.0535178 seconds
points: 39000; time: 0.0546318 seconds
points: 39500; time: 0.0541446 seconds
points: 40000; time: 0.0587553 seconds
points: 40500; time: 0.0558439 seconds
points: 41000; time: 0.0568095 seconds
points: 41500; time: 0.0562336 seconds
points: 42000; time: 0.0591572 seconds
points: 42500; time: 0.0593415 seconds
points: 43000; time: 0.0597733 seconds
points: 43500; time: 0.0605309 seconds
points: 44000; time: 0.0611811 seconds
points: 44500; time: 0.0618226 seconds
points: 45000; time: 0.0641383 seconds
points: 45500; time: 0.0645558 seconds
points: 46000; time: 0.0627927 seconds
points: 46500; time: 0.0632489 seconds
points: 47000; time: 0.063423 seconds
points: 47500; time: 0.0630241 seconds
points: 48000; time: 0.0671735 seconds
points: 48500; time: 0.0671917 seconds
points: 49000; time: 0.0676844 seconds
points: 49500; time: 0.0661733 seconds
points: 50000; time: 0.0686808 seconds
