points: 9; time: 0.0047955 seconds
points: 18; time: 0.0059402 seconds
points: 27; time: 0.005935 seconds
points: 36; time: 0.00661 seconds
points: 45; time: 0.0076533 seconds
points: 54; time: 0.0074671 seconds
points: 63; time: 0.0083762 seconds
points: 72; time: 0.0099842 seconds
points: 81; time: 0.0113952 seconds
points: 90; time: 0.0111441 seconds
points: 99; time: 0.0167531 seconds
points: 108; time: 0.0176589 seconds
points: 117; time: 0.0119374 seconds
points: 126; time: 0.0153089 seconds
points: 135; time: 0.0150223 seconds
points: 144; time: 0.0160403 seconds
points: 153; time: 0.0155707 seconds
points: 162; time: 0.0169916 seconds
points: 171; time: 0.0220591 seconds
points: 180; time: 0.021104 seconds
points: 189; time: 0.0244958 seconds
points: 198; time: 0.0279975 seconds
points: 207; time: 0.0272068 seconds
points: 216; time: 0.0334317 seconds
points: 225; time: 0.0308679 seconds
points: 234; time: 0.0250804 seconds
points: 243; time: 0.0270899 seconds
points: 252; time: 0.0335114 seconds
points: 261; time: 0.0311653 seconds
points: 270; time: 0.0306375 seconds
points: 279; time: 0.0352515 seconds
points: 288; time: 0.0354161 seconds
points: 297; time: 0.0378355 seconds
points: 306; time: 0.0449177 seconds
points: 315; time: 0.0380769 seconds
points: 324; time: 0.0412704 seconds
points: 333; time: 0.0407313 seconds
points: 342; time: 0.0529672 seconds
points: 351; time: 0.047926 seconds
points: 360; time: 0.0508195 seconds
points: 369; time: 0.0457018 seconds
points: 378; time: 0.04681 seconds
points: 387; time: 0.0495209 seconds
points: 396; time: 0.05613 seconds
points: 405; time: 0.0583251 seconds
points: 414; time: 0.0574087 seconds
points: 423; time: 0.0532198 seconds
points: 432; time: 0.0693165 seconds
points: 441; time: 0.0644552 seconds
points: 450; time: 0.0675285 seconds
points: 459; time: 0.070837 seconds
points: 468; time: 0.0737628 seconds
points: 477; time: 0.0733252 seconds
points: 486; time: 0.077576 seconds
points: 495; time: 0.0621149 seconds
points: 504; time: 0.0730052 seconds
points: 513; time: 0.0725147 seconds
points: 522; time: 0.109825 seconds
points: 531; time: 0.107366 seconds
points: 540; time: 0.0947382 seconds
points: 549; time: 0.0922282 seconds
points: 558; time: 0.0938415 seconds
points: 567; time: 0.0971763 seconds
points: 576; time: 0.109036 seconds
points: 585; time: 0.092097 seconds
points: 594; time: 0.10302 seconds
points: 603; time: 0.0919022 seconds
points: 612; time: 0.122496 seconds
points: 621; time: 0.0697061 seconds
points: 630; time: 0.0676433 seconds
points: 639; time: 0.0670071 seconds
points: 648; time: 0.0684413 seconds
points: 657; time: 0.0797926 seconds
points: 666; time: 0.0809149 seconds
points: 675; time: 0.0805678 seconds
points: 684; time: 0.100628 seconds
points: 693; time: 0.106704 seconds
points: 702; time: 0.101593 seconds
points: 711; time: 0.119006 seconds
points: 720; time: 0.0938557 seconds
points: 729; time: 0.0845117 seconds
points: 738; time: 0.107699 seconds
points: 747; time: 0.10983 seconds
points: 756; time: 0.109403 seconds
points: 765; time: 0.11745 seconds
points: 774; time: 0.121999 seconds
points: 783; time: 0.123762 seconds
points: 792; time: 0.126808 seconds
points: 801; time: 0.126723 seconds
points: 810; time: 0.124427 seconds
points: 819; time: 0.133385 seconds
points: 828; time: 0.13153 seconds
points: 837; time: 0.130787 seconds
points: 846; time: 0.145908 seconds
points: 855; time: 0.13295 seconds
points: 864; time: 0.136713 seconds
points: 873; time: 0.159801 seconds
points: 882; time: 0.139064 seconds
points: 891; time: 0.132624 seconds
points: 900; time: 0.134311 seconds
points: 909; time: 0.135205 seconds
points: 918; time: 0.248876 seconds
points: 927; time: 0.145543 seconds
points: 936; time: 0.166733 seconds
points: 945; time: 0.177263 seconds
points: 954; time: 0.135557 seconds
points: 963; time: 0.136289 seconds
points: 972; time: 0.136949 seconds
points: 981; time: 0.137648 seconds
points: 990; time: 0.14189 seconds
points: 999; time: 0.142022 seconds
points: 1008; time: 0.142139 seconds
points: 1017; time: 0.15777 seconds
points: 1026; time: 0.149181 seconds
points: 1035; time: 0.15412 seconds
points: 1044; time: 0.149857 seconds
points: 1053; time: 0.153696 seconds
points: 1062; time: 0.155894 seconds
points: 1071; time: 0.155854 seconds
points: 1080; time: 0.15993 seconds
points: 1089; time: 0.159233 seconds
points: 1098; time: 0.172674 seconds
points: 1107; time: 0.173771 seconds
points: 1116; time: 0.175933 seconds
points: 1125; time: 0.173172 seconds
points: 1134; time: 0.167822 seconds
points: 1143; time: 0.173809 seconds
